Target Churn,Target Code,Current Bill Amt,Avg Calls,Avg Calls Weekdays,Account Age,Percent Increase MOM,Acct Plan Subtype,Complaint Code,Avg Days Delinquent,Current TechSupComplaints,Current Days OpenWorkOrders,Equipment Age,Condition of Current Handset,Avg Hours WorkOrderOpenned
Churn,1,551.447,15060,36561,25,-0.3307455,Silver,Billing Problem,17,0,0,12,1,0
No Churn,0,191.256,11203,111114.667,39,0.67660733,Silver,Billing Problem,15.3,0,0,5,1,0
No Churn,0,198.302,4203.66667,24640.6667,30,0.13745102,Silver,Billing Problem,6.2,0,0,4,1,0
No Churn,0,248.781,5500.66667,40172.6667,39,0.01601859,Silver,Billing Problem,8.5,0,0,11,1,0
Churn,1,634.153,17548.6667,153797.333,39,-1,Silver,Call Quality,26.4,0,0,11,1,0
No Churn,0,570.83,20031.6667,54722.3333,39,0.12055641,Silver,Moving,9,0,0,4,1,0
Churn,1,280.124,0,0,39,0,Silver,Call Quality,24.5,0,0,17,1,0
No Churn,0,192.387,12860,45903.3333,19,-0.2162162,Silver,Moving,6.3,0,0,12,1,0
No Churn,0,405.782,2846,109962,39,-0.1405833,Silver,Moving,0,0,8,5,1,0
No Churn,0,189.592,5850.33333,15390.6667,39,-0.2480418,Silver,Moving,0,0,0,3,1,0
Churn,1,165.256,2208.33333,11686.6667,39,0.07565789,Silver,Billing Problem,33.2,0,0,39,1,0
No Churn,0,43.511,31519,155039.667,39,-0.1375337,Silver,Billing Problem,7,0,0,8,1,0
No Churn,0,89.245,544,915.666667,39,1.13461538,Gold,Billing Problem,6.4,0,0,1,1,0
No Churn,0,646.113,7999.33333,45746.6667,26,0.208,Silver,Billing Problem,9.2,0,0,6,1,0
No Churn,0,91.143,503,3294.66667,39,-0.15625,Gold,Check Account,0,0,0,8,1,0
Churn,1,87.178,0,1238,39,-1,Gold,Billing Problem,7.2,0,0,39,1,0
No Churn,0,55.081,10257,36871.3333,27,0.26463202,Silver,Billing Problem,7,0,0,6,1,0
No Churn,0,274.43,23464,45110.6667,39,-0.3184358,Silver,Billing Problem,31.5,0,0,8,1,0
No Churn,0,277.719,8528.33333,101347,39,-0.1850181,Silver,Moving,2,0,0,3,1,0
Churn,1,380.341,7795.33333,26347.6667,39,-0.9904459,Silver,Call Quality,20,0,0,22,1,0
Churn,1,93.418,111.666667,2187,31,-0.625,Gold,Call Quality,13.6,0,0,21,1,0
Churn,1,328.159,9679.33333,40321,39,-0.363109,Silver,Billing Problem,11,0,0,7,1,0
No Churn,0,375.284,15186,61771.3333,39,-0.3313407,Silver,Billing Problem,4.2,0,0,10,1,0
No Churn,0,339.586,5567.66667,26881.6667,39,0.16587629,Silver,Billing Problem,13.2,0,0,10,1,0
No Churn,0,159.744,3131,16472.6667,39,-0.2307762,Silver,Moving,7,0,0,38,1,0
No Churn,0,278.746,0,0,39,0,Gold,Billing Problem,7.2,0,0,17,1,0
No Churn,0,165.256,1095.66667,19126.3333,39,-0.0492958,Silver,Moving,4.2,0,0,10,1,0
Churn,1,68.185,695,2827,39,0.08333333,Gold,Billing Problem,36.3,0,0,1,1,0
No Churn,0,222.183,7086.33333,24079.6667,26,-0.2868013,Silver,Billing Problem,11.7,0,0,26,1,0
Churn,1,211.042,11785.3333,40693,39,-0.3192555,Silver,Billing Problem,16.5,0,0,1,1,0
No Churn,0,200.122,1800.66667,11536.3333,38,0.30827068,Silver,Billing Problem,6,0,0,3,1,0
No Churn,0,319.709,14618,61836,38,0.30827068,Silver,Billing Problem,6,0,0,3,1,0
No Churn,0,187.564,4582.66667,8067,28,0.58181818,Silver,Billing Problem,13.3,0,0,3,1,0
No Churn,0,188.747,657,9145,39,0.54225352,Gold,Billing Problem,1.5,0,0,1,1,0
Churn,1,143.078,1118.33333,7810,39,0.10655738,Silver,Billing Problem,14.7,0,0,22,1,0
Churn,1,863.304,0,0,15,-0.8831169,Gold,Billing Problem,36.2,0,0,17,1,0
Churn,1,291.434,22618,116276.667,28,-1,Silver,Billing Problem,16.5,0,0,28,1,0
Churn,1,91.481,354.666667,856.666667,36,-0.7777778,Gold,Billing Problem,8.6,0,0,6,1,0
No Churn,0,165.256,10958.6667,29999.3333,25,-0.4606742,Silver,Billing Problem,9,0,0,5,1,0
Churn,1,452.738,24292.6667,114598.333,39,-0.4174326,Silver,Billing Problem,15.4,0,0,10,1,0
No Churn,0,88.842,8718.66667,72599,39,-0.3461538,Gold,Billing Problem,11,0,6,10,1,0
No Churn,0,165.256,1840.33333,15487,39,0.37207155,Silver,Check Account,0,0,0,39,1,0
Churn,1,526.032,5743,103655.333,39,-1,Silver,Call Quality,20.8,0,0,9,1,0
No Churn,0,418.067,12282.3333,84811.3333,39,-0.1835052,Silver,Moving,5.3,0,0,7,1,0
Churn,1,300.677,19662.3333,25752.3333,27,-1,Silver,Billing Problem,10.7,0,0,4,1,0
Churn,1,44.174,1808.66667,1466,39,-1,Gold,Call Quality,20.7,0,0,37,1,0
No Churn,0,403.091,11575.6667,70325,39,0.10390356,Silver,Moving,6.6,0,0,2,1,0
Churn,1,165.49,6449.33333,29581,22,-0.2560976,Silver,Call Quality,42.8,0,0,2,1,0
No Churn,0,558.948,68143.3333,132707.333,37,-0.3013424,Silver,Call Quality,18.5,0,0,5,1,0
Churn,1,65.39,421.333333,2086.66667,39,0.56521739,Gold,Billing Problem,7.5,0,0,11,1,0
Churn,1,340.834,58910,194475,39,-1,Silver,Call Quality,12.6,0,0,10,1,0
Churn,1,492.102,11034.3333,45587,39,-0.9683365,Silver,Call Quality,37,0,0,10,1,0
No Churn,0,60.034,15225,45255,26,0.1218518,Silver,Moving,5.7,0,0,13,1,0
No Churn,0,342.212,2489,12830,33,0.84482759,Gold,Billing Problem,10,0,0,21,1,0
No Churn,0,776.672,15840.6667,76694.3333,39,2.90222595,Silver,Call Quality,21.8,0,0,19,1,0
No Churn,0,101.413,3813.66667,14389,39,-0.2380952,Gold,Billing Problem,10.2,0,0,15,1,0
Churn,1,246.116,30753.3333,60527,39,-0.5997705,Silver,Billing Problem,20,0,0,2,1,0
No Churn,0,187.291,5573.66667,31776.3333,39,-0.4705882,Silver,Moving,2,0,0,4,1,0
No Churn,0,237.367,1535.66667,8011.33333,29,-0.2183908,Silver,Call Quality,15,0,0,14,1,0
No Churn,0,275.418,26911.6667,92293.3333,39,0.26501548,Silver,Moving,3.3,0,0,7,1,0
No Churn,0,225.316,4887,57840.6667,39,0.94957983,Silver,Billing Problem,11.3,0,4,9,1,0
Churn,1,132.197,0,0,39,0,Silver,Billing Problem,16.3,0,0,17,1,0
Churn,1,56.277,7612.66667,17444.3333,38,-0.5409916,Silver,Call Quality,19.6,0,0,6,1,0
No Churn,0,128.557,6563,6905.66667,39,1.38016529,Gold,Billing Problem,8,0,0,39,1,0
Churn,1,82.563,2397.66667,5942,39,-0.4117647,Gold,Billing Problem,10,0,0,39,1,0
No Churn,0,65.351,584.666667,1310,39,0,Gold,Billing Problem,14.4,0,0,39,1,0
No Churn,0,190.359,5692,16753,33,0.30922693,Silver,Call Quality,11.4,0,0,1,1,0
Churn,1,390.585,4045,17422.3333,39,-0.4793926,Gold,Call Quality,30.8,0,0,6,1,0
No Churn,0,281.112,5095.66667,56738.6667,19,-0.6701721,Silver,Moving,13.7,0,0,5,1,0
Churn,1,916.045,9922.33333,32997,39,-0.1979592,Silver,Billing Problem,15.8,0,0,3,1,0
No Churn,0,198.302,1346.66667,31279,39,0.03128743,Silver,Billing Problem,4,0,0,6,1,0
No Churn,0,322.101,10701.3333,63747.3333,39,-0.2398098,Silver,Billing Problem,8,0,28,5,1,0
No Churn,0,305.955,17177.3333,57542.3333,25,-0.1920215,Silver,Moving,12.5,0,14,5,1,0
Churn,1,596.271,29126,76397,39,-0.9983585,Silver,Call Quality,28.3,0,0,12,1,0
Churn,1,792.181,13725,58497.3333,39,-1,Silver,Call Quality,36,0,0,7,1,0
Churn,1,111.618,607.333333,2037,39,-1,Silver,Billing Problem,13.8,0,0,10,1,0
Churn,1,502.879,58576.6667,97977.3333,32,-0.9989956,Silver,Call Quality,19.2,0,0,4,1,0
No Churn,0,167.44,2376.66667,6747,39,1.93480792,Silver,Billing Problem,14,0,0,19,1,0
No Churn,0,111.943,983,2049,39,1.07,Gold,Call Quality,23.8,0,11,9,1,0
No Churn,0,168.025,2612.33333,27944,39,1.58433735,Silver,Moving,7,0,0,15,1,0
No Churn,0,188.149,1139,714,39,-0.6511628,Gold,Billing Problem,23,0,0,5,1,0
Churn,1,43.511,0,0,39,0,Gold,Moving,4,0,0,17,1,0
No Churn,0,365.612,17914.3333,31911.3333,22,0.51404666,Silver,Check Account,0,0,0,3,1,0
No Churn,0,283.036,19571.3333,54023,39,-0.311568,Silver,Moving,13.5,0,0,11,1,0
No Churn,0,148.655,1175.33333,4154.33333,39,-0.775,Gold,Moving,9.1,0,0,23,1,0
No Churn,0,47.489,41.3333333,416.333333,39,2.75,Gold,Check Account,0,0,0,39,1,0
No Churn,0,132.197,1612,10919.6667,39,-0.3965517,Silver,Billing Problem,0,0,0,39,1,0
No Churn,0,228.059,648.333333,11972.6667,39,0.11909263,Silver,Billing Problem,5.1,0,0,9,1,0
No Churn,0,543.322,27550.3333,63767,39,0.13091922,Silver,Moving,5.7,0,0,22,1,0
No Churn,0,234.91,3047,21808,27,0.55172414,Silver,Billing Problem,11.5,0,0,14,1,0
No Churn,0,383.695,13051.3333,52488.3333,39,-0.1630252,Silver,Moving,0,0,0,25,1,0
No Churn,0,432.64,6004.66667,13283,38,0.12264151,Silver,Billing Problem,2,0,0,11,1,0
No Churn,0,235.82,9412,44363.3333,39,-0.0161533,Silver,Billing Problem,12.5,0,0,11,1,0
No Churn,0,187.291,7183.33333,28341.3333,39,0.06426299,Silver,Billing Problem,3.3,0,0,14,1,0
Churn,1,165.256,3270.66667,15382.3333,39,-1,Silver,Billing Problem,44.5,0,0,22,1,0
No Churn,0,208.468,7122,30834.6667,39,0.18882741,Silver,Moving,2.3,0,0,3,1,0
Churn,1,230.633,10078.6667,67271.6667,39,-0.4527814,Silver,Billing Problem,12.2,0,0,8,1,0
No Churn,0,198.302,489,3537.66667,39,1.59039645,Silver,Inaccurate Sales Inf,20,0,0,19,1,0
Churn,1,184.769,35161.3333,117443.667,27,-1,Silver,Call Quality,19.5,0,0,7,1,0
No Churn,0,283.465,16798.3333,42796.3333,39,-0.304744,Silver,Moving,2,0,0,4,1,0
No Churn,0,230.594,9430,64866,27,-0.6097294,Silver,Check Account,0,0,0,2,1,0
No Churn,0,73.294,200,3834.66667,39,1.48275862,Gold,Billing Problem,5.8,0,0,10,1,0
Churn,1,117.104,21801.3333,76110.6667,39,-0.5227273,Gold,Call Quality,21.7,0,0,2,1,0
No Churn,0,324.909,12100.6667,161821.667,39,-0.355778,Silver,Billing Problem,5,0,0,4,1,0
No Churn,0,291.213,5661.66667,40031.3333,31,-0.2254098,Silver,Billing Problem,2.4,0,0,5,1,0
No Churn,0,50.791,1251.66667,2825.33333,31,-0.2254098,Silver,Billing Problem,2.4,0,0,3,1,0
No Churn,0,53.105,851,2513.66667,39,0.75,Gold,Billing Problem,3,0,0,39,1,0
Churn,1,633.607,7039.33333,12113.6667,23,-1,Silver,Billing Problem,6,0,0,5,1,0
No Churn,0,241.904,8164.66667,44434,39,0.47257537,Silver,Billing Problem,8,0,0,8,1,0
No Churn,0,2677.181,21655.3333,82362,39,0.80308804,Silver,Check Account,0,0,0,5,1,0
No Churn,0,197.522,4869.66667,86306.3333,39,-0.2348817,Silver,Billing Problem,1,0,0,2,1,0
No Churn,0,737.217,15802.6667,37242,32,-0.3024883,Silver,Check Account,8,0,0,6,1,0
No Churn,0,117.208,12374.3333,29778,39,0.95909033,Silver,Billing Problem,2,0,0,10,1,0
No Churn,0,157.846,14874.6667,48047.6667,39,0.81740064,Gold,Call Quality,15,0,0,11,1,0
Churn,1,410.774,2873.33333,16958.3333,39,-0.5090909,Silver,Billing Problem,40,0,0,7,1,0
No Churn,0,287.872,25041.3333,49914,39,-0.5469954,Silver,Moving,3.4,0,0,14,1,0
No Churn,0,561.119,15830.3333,103722,39,0.20045155,Silver,Billing Problem,11.8,0,0,4,1,0
No Churn,0,251.056,32305.6667,88880.6667,39,0.228471,Silver,Billing Problem,12.5,0,0,11,1,0
No Churn,0,188.825,15972,71639,39,-0.0194986,Silver,Billing Problem,0,0,2,1,1,0
No Churn,0,444.964,21226.6667,235307,23,0.19738606,Silver,Billing Problem,17.2,0,0,4,1,0
No Churn,0,78.949,13406.6667,28311.3333,39,0.11827957,Gold,Billing Problem,1,0,0,5,1,0
Churn,1,43.511,0,0,39,0,Gold,Billing Problem,20,0,0,17,1,0
Churn,1,276.939,7940.33333,87304.6667,15,-0.3854749,Silver,Billing Problem,19.1,0,0,5,1,0
No Churn,0,375.206,6232.66667,94726,39,-0.4993256,Silver,Moving,4,0,0,1,1,0
Churn,1,365.196,2612,20827,15,-1,Gold,Billing Problem,23.3,0,0,35,1,0
No Churn,0,165.256,5176.33333,8401.66667,39,0.71428571,Silver,Billing Problem,8.3,0,0,15,1,0
Churn,1,522.262,7825.33333,124363.333,39,-0.1046757,Silver,Billing Problem,12.2,0,0,11,1,0
No Churn,0,320.853,3648.66667,13902,39,0.49120022,Silver,Billing Problem,10.3,0,0,8,1,0
Churn,1,110.162,1181.66667,2247,39,-0.5188147,Silver,Moving,13,0,0,12,1,0
Churn,1,334.464,13016.3333,55545.6667,39,-0.4418518,Silver,Call Quality,13.8,0,0,1,1,0
Churn,1,110.162,7285.66667,25092.3333,26,-0.5433581,Silver,Billing Problem,17.3,0,0,4,1,0
Churn,1,343.174,9619.33333,47582,39,-0.5737705,Gold,Billing Problem,15.9,0,0,4,1,0
Churn,1,670.748,0,32,39,0,Gold,Billing Problem,41.5,0,0,17,1,0
No Churn,0,160.42,12389.3333,15613.3333,39,0.05953538,Silver,Check Account,2,0,0,3,1,0
No Churn,0,217.126,5639.33333,28743.3333,39,0.30372429,Silver,Billing Problem,4,0,0,3,1,0
No Churn,0,225.485,3135.66667,19050.6667,28,-0.0733325,Silver,Billing Problem,23.3,0,0,2,1,0
Churn,1,354.601,16110.6667,48941.3333,39,-0.6804909,Silver,Billing Problem,5,0,0,3,1,0
No Churn,0,124.683,1971.33333,29603.3333,39,-0.4213532,Silver,Billing Problem,11.2,0,0,8,1,0
No Churn,0,510.835,6641.33333,42505.3333,39,-0.3458368,Silver,Billing Problem,17,0,0,9,1,0
Churn,1,43.511,0,0,39,0,Gold,Billing Problem,57,0,0,17,1,0
No Churn,0,438.477,2181,8542.33333,39,0.30434783,Silver,Billing Problem,0,0,0,7,1,0
Churn,1,169.403,4415,19485.6667,39,-0.3367347,Silver,Billing Problem,10.8,0,0,21,1,0
Churn,1,165.256,32712.6667,101605.333,39,-0.9990622,Silver,Call Quality,47.3,0,0,24,1,0
No Churn,0,287.69,15003.6667,56746.6667,39,-0.1982249,Silver,Moving,2,0,0,5,1,0
Churn,1,132.197,6908.66667,26713.3333,39,-1,Silver,Call Quality,23.4,0,0,15,1,0
Churn,1,43.511,2899.33333,12333.6667,39,1.29411765,Gold,Billing Problem,16.8,0,0,8,1,0
No Churn,0,165.256,1694,18568.3333,39,0.29770992,Silver,Moving,5,0,0,8,1,0
No Churn,0,165.256,3805,37122,39,0.0678416,Silver,Billing Problem,0,0,0,18,1,0
Churn,1,258.765,15141,31724.6667,39,-0.0650685,Silver,Call Quality,22.8,0,0,5,1,0
No Churn,0,165.256,0,0,28,1.61904762,Silver,Call Quality,21,0,0,17,1,0
No Churn,0,588.744,35404.6667,235695,39,-0.2907093,Silver,Billing Problem,8,0,0,1,1,0
Churn,1,106.054,258,3557.33333,39,-0.0163934,Gold,Billing Problem,14.8,0,0,38,1,0
No Churn,0,240.903,17209.3333,50446.3333,39,0.68292683,Silver,Billing Problem,12.8,0,0,5,1,0
No Churn,0,326.326,4630,10207.6667,39,0.64383562,Silver,Billing Problem,3.6,0,0,5,1,0
Churn,1,308.165,10432,55877,39,-0.3074766,Silver,Billing Problem,7.8,0,0,1,1,0
No Churn,0,196.573,9554.66667,60813,39,-0.2785806,Silver,Billing Problem,8,0,0,5,1,0
No Churn,0,128.7,375,7164,32,0.86623165,Silver,Billing Problem,16,0,0,10,1,0
No Churn,0,1005.732,9851.33333,84803,39,-0.1751443,Silver,Billing Problem,13.3,0,0,2,1,0
No Churn,0,145.444,1324,2987.33333,39,1.472,Gold,Billing Problem,11.3,0,0,16,1,0
Churn,1,165.256,22278,75392.6667,39,0.22616107,Silver,Call Quality,8.3,0,0,23,1,0
No Churn,0,356.278,4699.66667,63728.3333,22,-0.1050119,Silver,Billing Problem,14.8,0,0,22,1,0
No Churn,0,266.058,3707,34814,39,-0.0040509,Silver,Check Account,0,0,0,1,1,0
No Churn,0,77.935,1786.66667,2563.33333,39,1.06896552,Gold,Billing Problem,0,0,0,39,1,0
Churn,1,67.652,2700.66667,8376.33333,39,-0.9268293,Gold,Moving,16,0,0,13,1,0
Churn,1,45.097,3436.33333,21351.3333,26,-0.9754098,Gold,Call Quality,30.6,0,0,22,1,0
Churn,1,198.302,13581.3333,55497,39,-0.4764485,Silver,Moving,11.7,0,0,11,1,0
Churn,1,744.315,42465,190134.667,39,-0.3439861,Silver,Call Quality,11,0,0,8,1,0
Churn,1,447.72,12980,147120,39,-0.1790123,Silver,Call Quality,27.3,0,0,12,1,0
No Churn,0,377.728,5759.66667,14200,39,-0.8700787,Gold,Billing Problem,14.8,0,0,0,1,0
No Churn,0,151.19,3830.66667,14575,39,2.875,Gold,Call Quality,17.8,0,0,13,1,0
No Churn,0,115.57,1236.33333,9402.66667,39,-0.1678832,Gold,Call Quality,7.8,0,0,2,1,0
No Churn,0,146.354,3557.33333,4763.33333,39,0.5,Gold,Billing Problem,7.8,0,0,10,1,0
Churn,1,389.077,2145.66667,135516.333,39,-0.625895,Silver,Call Quality,20.3,0,0,3,1,0
No Churn,0,55.419,0,10.6666667,38,0,Gold,Moving,1,0,0,17,1,0
Churn,1,135.343,24457.6667,141684.333,39,-1,Silver,Call Quality,25.6,0,34,15,1,0
No Churn,0,345.592,11168,39611.3333,39,-0.3281437,Silver,Check Account,34,0,0,14,1,0
Churn,1,641.888,35316,131679.333,39,-0.4313656,Silver,Billing Problem,36.4,0,0,15,1,0
No Churn,0,486.954,10303,116973.667,29,0.19695503,Silver,Billing Problem,14,0,0,5,1,0
No Churn,0,278.109,14552,48856.6667,34,0.03363229,Silver,Billing Problem,3.4,0,0,7,1,0
No Churn,0,216.528,3525.33333,16393.6667,25,-0.1764706,Silver,Moving,2.8,0,0,7,1,0
No Churn,0,275.418,16884.6667,93525,39,0.2360515,Silver,Moving,0,0,0,1,1,0
No Churn,0,166.79,8386.66667,41526,39,-0.1919355,Silver,Moving,2,0,0,23,1,0
No Churn,0,275.964,423,18921,39,-0.2075472,Silver,Billing Problem,2,0,0,11,1,0
No Churn,0,437.749,20269.6667,54164.3333,39,-0.451,Silver,Check Account,12.2,0,6.5,10,1,0
No Churn,0,110.006,61.6666667,35.3333333,39,1,Gold,Moving,4,0,0,22,1,0
No Churn,0,200.525,477.666667,8245.33333,39,-0.9435794,Silver,Billing Problem,16.8,0,0,7,1,0
Churn,1,165.256,5164.66667,10692,39,-1,Silver,Billing Problem,15,0,0,18,1,0
No Churn,0,331.331,1697.66667,9282.66667,39,-0.8306245,Silver,Billing Problem,6.3,0,0,0,1,0
Churn,1,49.14,751.666667,1894.33333,24,0.5,Gold,Billing Problem,32.6,0,0,39,1,0
No Churn,0,187.291,11401.6667,20455,34,-0.2425952,Silver,Billing Problem,0,0,0,22,1,0
No Churn,0,149.409,5849.33333,19465.3333,24,-0.0293014,Silver,Billing Problem,2,0,0,8,1,0
No Churn,0,199.511,14835.6667,45714.6667,39,-0.35589,Silver,Billing Problem,5.4,0,0,1,1,0
Churn,1,224.107,22077.6667,87728,39,-0.3576687,Silver,Billing Problem,19.4,0,0,4,1,0
No Churn,0,111.813,4220.66667,17599.6667,39,0.03322634,Silver,Billing Problem,7,0,0,8,1,0
No Churn,0,165.256,0,0,26,0.20168067,Silver,Moving,6,0,0,17,1,0
No Churn,0,165.256,0,0,26,0,Silver,Billing Problem,13.3,0,0,17,1,0
Churn,1,93.132,850.666667,17682,39,-0.3119266,Gold,Call Quality,22.7,0,0,39,1,0
Churn,1,165.256,4808.33333,12878.6667,39,-0.3844918,Silver,Billing Problem,16.9,0,0,38,1,0
No Churn,0,126.282,5119,28749,34,-0.6206897,Gold,Check Account,7.7,0,0,4,1,0
Churn,1,402.805,75.6666667,19450.6667,39,-0.9616555,Silver,Call Quality,3,0,0,21,1,0
Churn,1,185.25,0,111.666667,32,-0.5,Gold,Call Quality,25,0,0,17,1,0
Churn,1,297.895,10940.3333,12258.3333,32,-0.5,Gold,Call Quality,25,0,0,26,1,0
No Churn,0,216.489,3125.66667,7445.66667,39,-0.4893617,Silver,Moving,0,0,0,38,1,0
No Churn,0,315.341,25945.6667,95533.6667,39,0.15125613,Silver,Moving,5,0,0,36,1,0
Churn,1,254.033,1470,7443.33333,39,-1,Gold,Billing Problem,25,0,0,39,1,0
No Churn,0,165.256,5481.66667,26623,30,-0.2732919,Silver,Moving,0,0,0,11,1,0
No Churn,0,419.471,2533.33333,13739.3333,39,0.75801749,Silver,Moving,1.8,0,0,2,1,0
Churn,1,118.638,14057.6667,45333.3333,39,-1,Silver,Call Quality,12.3,0,0,2,1,0
No Churn,0,815.165,3067.66667,12405.6667,22,-0.4592721,Silver,Billing Problem,5.8,0,0,10,1,0
No Churn,0,213.759,1803.66667,7058,39,0.13888889,Gold,Billing Problem,3.8,0,0,39,1,0
Churn,1,223.548,4390.66667,103976.667,39,-1,Silver,Call Quality,25.7,0,0,11,1,0
No Churn,0,91.819,605.666667,1639.33333,39,-0.5555556,Gold,Billing Problem,4.2,0,0,19,1,0
Churn,1,224.38,24688,165402.333,39,-0.3149171,Silver,Billing Problem,17.4,0,0,7,1,0
Churn,1,140.452,11594,31354,39,-0.7497059,Silver,Call Quality,12.2,0,0,3,1,0
Churn,1,43.511,0,4,39,0,Gold,Billing Problem,48.3,0,0,17,1,0
Churn,1,187.291,2403,40057.3333,31,-1,Silver,Billing Problem,38,0,0,4,1,0
No Churn,0,281.203,17190.3333,51041.6667,38,0.01875,Silver,Billing Problem,12.5,0,0,8,1,0
No Churn,0,109.733,2216,3708,38,-0.7717391,Gold,Billing Problem,4.2,0,0,4,1,0
No Churn,0,334.802,4540.33333,55623.3333,38,-0.3886114,Silver,Billing Problem,12.5,0,0,18,1,0
Churn,1,43.511,2243.66667,7694.66667,38,-1,Gold,Call Quality,23.8,0,0,23,1,0
No Churn,0,364.208,7365.66667,32487,38,-0.1779477,Silver,Billing Problem,0,0,0,4,1,0
No Churn,0,161.031,3666.66667,35965,38,-0.5786028,Silver,Billing Problem,7.8,0,0,3,1,0
Churn,1,93.47,0,0,18,-1,Gold,Billing Problem,28.2,0,0,17,1,0
Churn,1,139.451,841.333333,16475,18,-1,Gold,Billing Problem,28.2,0,0,19,1,0
No Churn,0,317.213,7795.66667,32749.3333,38,0.14878049,Silver,Moving,11,0,11,6,1,0
No Churn,0,469.924,3663.66667,35341.3333,38,-0.0171141,Silver,Moving,7,0,0,11,1,0
Churn,1,123.825,3071,58360,38,-0.7925822,Silver,Billing Problem,14.3,0,0,3,1,0
Churn,1,401.856,10187.3333,61732.3333,38,-1,Silver,Billing Problem,12,0,0,38,1,0
Churn,1,283.582,1958.33333,34484.6667,38,-1,Silver,Billing Problem,26,0,0,18,1,0
No Churn,0,356.564,33371,275017,27,0.20461632,Silver,Billing Problem,11.3,0,0,13,1,0
Churn,1,141.401,1193.66667,6673,23,-0.047619,Gold,Billing Problem,22.6,0,0,11,1,0
No Churn,0,265.434,24416.3333,127338,38,0.14677661,Silver,Billing Problem,8.4,0,0,21,1,0
No Churn,0,415.311,19166.3333,54528,38,0.22816594,Silver,Moving,21.5,0,0,8,1,0
Churn,1,354.51,1771.33333,3886,38,-0.2682927,Gold,Call Quality,18.5,0,0,4,1,0
No Churn,0,293.15,19417.3333,63884.3333,38,-0.4211983,Silver,Billing Problem,20.8,0,19,15,1,0
Churn,1,116.285,954.666667,4013.33333,38,0.47457627,Gold,Billing Problem,15.4,0,0,5,1,0
Churn,1,467.558,5435.33333,27020.3333,38,-0.2510913,Silver,Call Quality,12,0,0,19,1,0
No Churn,0,650.312,8722.33333,14504.6667,23,-0.1298709,Silver,Check Account,0,0,0,7,1,0
Churn,1,281.385,4448.66667,48101.6667,38,-0.9891697,Silver,Call Quality,19.8,0,0,10,1,0
Churn,1,205.218,5548.66667,29613,38,-0.9691781,Silver,Billing Problem,24.8,0,0,13,1,0
No Churn,0,66.573,4739,32299,33,0.49491479,Silver,Check Account,0,0,0,1,1,0
No Churn,0,68.016,1352.66667,6937.66667,38,0.97859384,Silver,Billing Problem,12,0,0,1,1,0
No Churn,0,172.159,2314,13223.3333,24,-0.4726563,Silver,Billing Problem,14,0,0,24,1,0
No Churn,0,289.692,1867,15349.6667,38,-0.4588235,Silver,Billing Problem,10.2,0,0,3,1,0
Churn,1,167.674,0,0,24,-0.7647059,Silver,Call Quality,15.3,0,0,17,1,0
Churn,1,297.375,24954.3333,77394.3333,38,-0.9551887,Silver,Call Quality,22.2,0,0,3,1,0
No Churn,0,60.723,1495,6670.66667,38,-0.1428571,Gold,Billing Problem,8.5,0,0,4,1,0
No Churn,0,1419.08,0,13.3333333,38,0,Gold,Billing Problem,11,0,0,17,1,0
